seed,dataset,operand_bits,arithmetic,family,prime,places,modulus,rns_moduli,modulus_entropy_bits,physical_lane_bits,accuracy,float_accuracy,accuracy_delta,float_agreement,logit_mae,wrap_rate,wrapped_values,accumulator_values,max_abs_accumulator,runtime_ms,logical_macs,residue_macs,input_clip_rate,weight_clip_rate,parameter_count,weight_count,bias_count,weight_storage_packed_bytes,bias_storage_packed_bytes,parameter_storage_packed_bytes
7,digits,8,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.07333333333333333,0.9733333333333334,-0.9,0.07555555555555556,5.167592414701338,0.42264550264550266,7988,18900,29909,1.4294082298874855,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.10666666666666667,0.9733333333333334,-0.8666666666666667,0.10222222222222223,5.161879457306791,0.6261375661375661,11834,18900,29909,1.5545918140560389,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.11333333333333333,0.9733333333333334,-0.8600000000000001,0.11333333333333333,5.155130000793877,0.5176719576719576,9784,18900,29909,1.245591789484024,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.06666666666666667,0.9733333333333334,-0.9066666666666667,0.06888888888888889,5.171479315510187,0.4235978835978836,8006,18900,29909,3.1112416181713343,1065600,2131200,4.6296296296296294e-05,0.0,2410,2368,42,2368,69,2437
7,digits,8,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.9711111111111111,0.9733333333333334,-0.0022222222222222365,0.9888888888888889,0.22193460285567262,0.00015873015873015873,3,18900,34358,0.8765833918005228,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,84,2452
7,digits,8,modular,Z/3^10Z,3.0,10.0,59049.0,,15.849625007211563,16,0.9511111111111111,0.9733333333333334,-0.022222222222222254,0.9688888888888889,0.2940244756992282,0.0007936507936507937,15,18900,34358,0.942099979147315,1065600,1065600,0.00011574074074074075,0.0,2410,2368,42,2368,84,2452
7,digits,8,modular,Z/5^6Z,5.0,6.0,15625.0,,13.931568569324174,14,0.08444444444444445,0.9733333333333334,-0.888888888888889,0.08666666666666667,5.067341530100672,0.14179894179894179,2680,18900,39504,0.9596583899110556,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,74,2442
7,digits,8,rns,RNS,,,64507.0,251x257,15.97716810314465,17,0.9688888888888889,0.9733333333333334,-0.004444444444444473,0.9866666666666667,0.2289784701648083,0.00021164021164021165,4,18900,34358,3.108458174392581,1065600,2131200,9.259259259259259e-05,0.0,2410,2368,42,2368,90,2458
7,digits,8,modular,Z/2^18Z,2.0,18.0,262144.0,,18.0,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.20931682176888,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/3^11Z,3.0,11.0,177147.0,,17.43458750793272,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.0877331718802452,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/5^7Z,5.0,7.0,78125.0,,16.253496664211536,17,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,0.9240166284143925,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,90,2458
7,digits,8,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,2.701999992132187,1065600,2131200,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,0.9931583888828754,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
7,digits,8,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.170575013384223,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
7,digits,8,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.1453500017523766,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
7,digits,8,rns,RNS,,,16777207.0,4093x4099,23.999999226077865,25,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,2.622399991378188,1065600,2131200,9.259259259259259e-05,0.0,2410,2368,42,2368,132,2500
19,moons,4,wide,integer-wide-accumulator,,,,,,32,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.3711999859660864,160000,160000,0.008705882352941176,0.0,354,320,34,160,136,296
19,moons,4,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.5623834207653999,160000,160000,0.008705882352941176,0.0,354,320,34,160,34,194
19,moons,4,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.5299750249832869,160000,160000,0.008705882352941176,0.0,354,320,34,160,34,194
19,moons,4,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.73,0.97,-0.24,0.752,2.8555952028915437,0.016,272,17000,122,0.45960815623402596,160000,160000,0.005,0.0,354,320,34,160,30,190
19,moons,4,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,1.0061665903776884,160000,320000,0.008705882352941176,0.0,354,320,34,160,39,199
19,moons,4,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.5075166001915932,160000,160000,0.008705882352941176,0.0,354,320,34,160,51,211
19,moons,4,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.524633377790451,160000,160000,0.008705882352941176,0.0,354,320,34,160,51,211
19,moons,4,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.46975002624094486,160000,160000,0.008705882352941176,0.0,354,320,34,160,51,211
19,moons,4,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,1.4478084165602922,160000,320000,0.008705882352941176,0.0,354,320,34,160,56,216
19,moons,4,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.946,0.97,-0.02400000000000002,0.968,0.7962982951664712,0.0,0,17000,114,0.6233584135770798,160000,160000,0.008705882352941176,0.0,354,320,34,160,68,228
